Disease,Symptom,Weight
Common Cold,Runny or stuffy nose,0.8
Common Cold,Sore or scratchy throat,0.7
Common Cold,Sneezing,0.7
Common Cold,Cough,0.6
Common Cold,Mild headache,0.5
Common Cold,Mild body aches,0.4
Common Cold,Mild fever,0.4
Common Cold,Tiredness,0.5
Influenza,Fever with sudden onset,0.9
Influenza,Dry cough,0.8
Influenza,Sore throat,0.7
Influenza,Runny or stuffy nose,0.6
Influenza,Headache,0.7
Influenza,Muscle and body aches,0.9
Influenza,Chills,0.8
Influenza,Fatigue and weakness,0.7
Influenza,Vomiting or diarrhea (children),0.5
Dengue Fever,High fever,0.9
Dengue Fever,Severe headache (behind eyes),0.8
Dengue Fever,Severe muscle and joint pain,0.9
Dengue Fever,Nausea or vomiting,0.6
Dengue Fever,Skin rash,0.7
Dengue Fever,"Mild bleeding (nose, gums, bruising)",0.8
Dengue Fever,Fatigue,0.6
Malaria,Cyclical fever with chills,1
Malaria,Shaking and sweating,0.8
Malaria,Headache,0.7
Malaria,Muscle and joint pain,0.7
Malaria,Nausea or vomiting,0.6
Malaria,Diarrhea,0.5
Malaria,Fatigue,0.7
Malaria,Abdominal discomfort,0.6
Typhoid Fever,Gradually rising fever,0.9
Typhoid Fever,Headache,0.7
Typhoid Fever,General weakness and fatigue,0.7
Typhoid Fever,Stomach pain,0.8
Typhoid Fever,Loss of appetite,0.6
Typhoid Fever,Rose-colored skin rash,0.8
Typhoid Fever,Constipation or diarrhea,0.6
Typhoid Fever,Dry cough,0.5
Typhoid Fever,Sweating,0.4
Chickenpox,Mild to moderate fever,0.7
Chickenpox,Itchy rash with blisters,1
Chickenpox,Tiredness,0.6
Chickenpox,Headache,0.5
Chickenpox,Loss of appetite,0.5
Measles,High fever,0.8
Measles,Cough,0.7
Measles,Runny nose,0.7
Measles,Red watery eyes,0.8
Measles,Koplik spots in mouth,1
Measles,Spreading skin rash,0.9
Measles,Tiredness,0.6
Mumps,Swollen cheeks or jaw,1
Mumps,Fever,0.7
Mumps,Headache,0.6
Mumps,Muscle aches,0.6
Mumps,Tiredness,0.6
Mumps,Loss of appetite,0.5
Tuberculosis,Persistent cough for weeks,0.9
Tuberculosis,Coughing blood or sputum,1
Tuberculosis,Night sweats,0.8
Tuberculosis,Unexplained weight loss,0.9
Tuberculosis,Fever,0.6
Tuberculosis,Chest pain,0.7
Tuberculosis,Tiredness,0.7
COVID-19,Fever or chills,0.8
COVID-19,Dry cough,0.8
COVID-19,Tiredness,0.7
COVID-19,Loss of taste or smell,1
COVID-19,Difficulty breathing,0.9
COVID-19,Sore throat,0.7
COVID-19,Runny or stuffy nose,0.6
COVID-19,Headache,0.6
COVID-19,Muscle or body pain,0.6
COVID-19,Nausea or vomiting,0.5
COVID-19,Diarrhea,0.5
Pneumonia,High fever,0.8
Pneumonia,Chills and sweating,0.7
Pneumonia,Cough with mucus or pus,0.9
Pneumonia,Chest pain when breathing or coughing,1
Pneumonia,Shortness of breath,0.9
Pneumonia,Tiredness,0.6
Pneumonia,Loss of appetite,0.5
Bronchitis,Persistent cough,0.9
Bronchitis,Cough with mucus,0.8
Bronchitis,Wheezing,0.7
Bronchitis,Chest discomfort,0.7
Bronchitis,Mild fever and chills,0.6
Bronchitis,Tiredness,0.6
Bronchitis,Shortness of breath,0.7
Sinusitis,Facial pain or pressure,0.9
Sinusitis,Nasal congestion,0.8
Sinusitis,Runny nose with thick mucus,0.9
Sinusitis,Headache (forehead/eyes),0.8
Sinusitis,Reduced sense of smell or taste,0.7
Sinusitis,Sore throat,0.6
Sinusitis,Cough (worse at night),0.6
Sinusitis,Bad breath,0.5
Pharyngitis,Sore throat (painful swallowing),1
Pharyngitis,Red or swollen throat,0.9
Pharyngitis,Fever,0.7
Pharyngitis,Headache,0.6
Pharyngitis,Swollen neck lymph nodes,0.7
Pharyngitis,Cough,0.5
Pharyngitis,Runny nose,0.5
Pharyngitis,Tiredness,0.5
Gastroenteritis,Watery diarrhea,1
Gastroenteritis,Nausea and vomiting,0.9
Gastroenteritis,Stomach cramps,0.9
Gastroenteritis,Low-grade fever,0.6
