disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6
Common Cold,runny nose,stuffy nose,sore throat,sneezing,cough,
Common Cold,runny nose,sore throat,sneezing,,,
Common Cold,stuffy nose,cough,headache,,,
Common Cold,runny nose,sneezing,headache,fatigue,,
Common Cold,sore throat,cough,fatigue,,,
Common Cold,runny nose,stuffy nose,cough,headache,,
Common Cold,runny nose,sneezing,,,,
Common Cold,sore throat,headache,runny nose,,,
Common Cold,cough,sneezing,stuffy nose,,,
Common Cold,runny nose,stuffy nose,fever,fatigue,,
Common Cold,runny nose,cough,headache,,,
Common Cold,sore throat,sneezing,headache,muscle pain,,
Common Cold,runny nose,stuffy nose,sore throat,,,
Common Cold,sneezing,cough,headache,,,
Common Cold,runny nose,sore throat,headache,,,
Common Cold,stuffy nose,cough,fatigue,,,
Common Cold,runny nose,fever,headache,,,
Common Cold,runny nose,sneezing,fatigue,,,
Common Cold,sore throat,cough,fever,,,
Common Cold,runny nose,stuffy nose,cough,fever,fatigue,
Influenza(flu),fever,cough,sore throat,muscle pain,headache,fatigue
Influenza(flu),fever,cough,runny nose,stuffy nose,headache,
Influenza(flu),fever,chills,cough,muscle pain,fatigue,
Influenza(flu),fever,cough,sore throat,headache,,
Influenza(flu),fever,cough,muscle pain,fatigue,,
Influenza(flu),fever,cough,headache,runny nose,,
Influenza(flu),fever,headache,muscle pain,fatigue,,
Influenza(flu),fever,cough,sore throat,runny nose,stuffy nose,
Influenza(flu),fever,cough,nausea,vomiting,,
Influenza(flu),fever,cough,headache,fatigue,,
Influenza(flu),fever,chills,headache,muscle pain,loss of appetite,
Influenza(flu),fever,cough,sore throat,fatigue,,
Influenza(flu),fever,cough,stuffy nose,headache,,
Influenza(flu),fever,cough,chills,muscle pain,,
Influenza(flu),fever,headache,fatigue,nausea,,
Influenza(flu),fever,cough,loss of appetite,,,
Influenza(flu),fever,cough,headache,muscle pain,,
Influenza(flu),fever,runny nose,stuffy nose,headache,,
Influenza(flu),fever,cough,shortness of breath,fatigue,,
Influenza(flu),fever,headache,cough,chills,,
Dengue Fever,fever,headache,eye pain,muscle pain,joint pain,
Dengue Fever,fever,headache,rash,muscle pain,,
Dengue Fever,fever,nausea,vomiting,muscle pain,,
Dengue Fever,fever,headache,eye pain,rash,,
