disease,definition,care,warning,medications,causes,prevention
Common Cold,A short-lasting viral infection of the upper airways that usually resolves on its own.,"Rest, fluids, and comfort measures.","See a clinician if fever is high, breathing is hard, or illness lasts unusually long.",Paracetamol/acetaminophen for fever or pain; saline nasal rinse.,Cold viruses spread by droplets and touch.,Hand hygiene; avoid close contact with sick people.
Influenza (Flu),"A contagious viral illness that affects the nose, throat, and lungs and can be more severe than a cold.","Rest, fluids, isolate while sick.","Urgent care if trouble breathing, chest pain, confusion, or dehydration.","Antivirals if prescribed (e.g., oseltamivir); fever reducers.",Influenza viruses spread in seasons and outbreaks.,Annual flu vaccination; hand and respiratory hygiene.
Dengue Fever,A mosquito-borne viral disease that can range from mild to severe and needs careful fluid management.,"Rest, oral fluids, monitor closely.","Seek care fast if persistent vomiting, bleeding, lethargy, or severe abdominal pain.",Paracetamol for fever; **avoid aspirin/ibuprofen** unless a clinician says otherwise.,Bite from infected *Aedes* mosquitoes.,Avoid mosquito bites; remove standing water; community control.
Malaria,A parasitic infection transmitted by *Anopheles* mosquitoes that can become severe without treatment.,"Rest, hydrate; get tested promptly if fever after travel to risk areas.","Emergency care if severe weakness, confusion, or breathing trouble.",Antimalarial medicines as prescribed (drug depends on species/resistance).,Parasites transmitted by mosquito bites.,Mosquito avoidance; bed nets; prophylaxis when advised.
Typhoid Fever,A systemic bacterial infection that spreads through contaminated food or water.,Fluids and oral rehydration; maintain nutrition.,See a clinician promptly for testing and antibiotics.,Antibiotics as prescribed only; fever/pain reducers for comfort.,*Salmonella Typhi* via unsafe water/food.,Safe water/food; hand hygiene; vaccination where recommended.
Allergic Rhinitis,An immune reaction to airborne allergens causing nasal allergy disease.,Avoid triggers; rinse nose with saline; keep indoor air clean.,See a clinician if symptoms persist or interfere with daily life.,Antihistamines or steroid nasal sprays as advised.,"Pollen, dust mites, animal dander, molds.",Allergen avoidance; masks/filters; consider immunotherapy.
Seasonal Allergies,Allergy flares that occur in certain seasons due to outdoor pollens.,Limit outdoor exposure on high-pollen days; shower after outings.,"See a clinician if sleep, school, or work are affected.",Oral antihistamines; steroid nasal spray per advice.,Tree/grass/weed pollens.,Track pollen counts; close windows; consider immunotherapy.
Acute Respiratory Distress (ARDS),"A life-threatening lung condition where fluid leaks into air sacs, causing severe oxygen shortage.",Hospital-only care; oxygen/ventilation support.,Emergency—call for urgent medical help immediately.,Hospital treatments only; no self-medication.,"Severe infections, injuries, or other critical illnesses.","Prevent severe infections (vaccines), early care for serious illness."
Whooping Cough (Pertussis),A contagious bacterial infection of the airways known for long coughing bouts.,Stay home to avoid spread; keep hydrated.,"Infants, pregnant people, or anyone with breathing trouble need urgent care.",Antibiotics if diagnosed early; supportive care.,*Bordetella pertussis* spread by droplets.,Vaccination (DTaP/Tdap) and timely boosters.
Tonsillitis,"Inflammation of the tonsils, often viral and sometimes bacterial.","Rest, warm fluids, throat soothing measures.","See a clinician if swallowing is hard, drooling, or high fever.","Pain relievers; antibiotics only if bacterial (e.g., strep).",Viruses; sometimes *Streptococcus* bacteria.,Hand hygiene; avoid close contact during outbreaks.
